Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i12531807~London ; New York : I. B. Tauris : Distributed in the United States and Canada by Palgrave Macmillan, 2010-2011.~551.48 H6731~~~  -  -    ~9781845119805 (hbk. : series 2, v.1);1845119800 (hbk. : series 2, v.1);9781848853508 (hbk. : series 2, v.2);1848853505 (hbk. : series 2, v.2);9781848853515 (hbk. : series 2, v.3);1848853513 (hbk. : series 2, v.3)~A history of water. Series II / edited by Terje Tvedt.~
i12531819~London ; New York : I. B. Tauris : Distributed in the United States and Canada by Palgrave Macmillan, 2010-2011.~551.48 H6731~~~  -  -    ~9781845119805 (hbk. : series 2, v.1);1845119800 (hbk. : series 2, v.1);9781848853508 (hbk. : series 2, v.2);1848853505 (hbk. : series 2, v.2);9781848853515 (hbk. : series 2, v.3);1848853513 (hbk. : series 2, v.3)~A history of water. Series II / edited by Terje Tvedt.~
i12531820~London ; New York : I. B. Tauris : Distributed in the United States and Canada by Palgrave Macmillan, 2010-2011.~551.48 H6731~~~  -  -    ~9781845119805 (hbk. : series 2, v.1);1845119800 (hbk. : series 2, v.1);9781848853508 (hbk. : series 2, v.2);1848853505 (hbk. : series 2, v.2);9781848853515 (hbk. : series 2, v.3);1848853513 (hbk. : series 2, v.3)~A history of water. Series II / edited by Terje Tvedt.~
i12531832~London ; New York : I.B. Tauris ; New York : Distributed in the United States and Canada by Palgrave Macmillan, 2006.~553.7 H673~~~  -  -    ~1850435936 (set);9781850435938 (set);185043445X (v. 1);9781850434450 (v. 1);1850434468 (v. 2);9781850434467 (v. 2);1850434476 (v. 3);9781850434474 (v. 3);9781850434475~A history of water.~
i12531947~Farnham, Surrey, England ; Burlington, VT, USA : Ashgate, c2012.~320.01 C737~~~  -  -    ~9781409410621 (hardback : alk. paper);1409410625 (hardback : alk. paper);9781409410638 (ebook);1409410633 (ebook)~A companion to political philosophy : methods, tools, topics / edited by Antonella Besussi.~
i12535102~Nottingham, England : Plough Press ; West New York, N.J. : Mark Batty Publisher, c2004.~686.2092 J77~~~  -  -    ~0972563679 (alk. paper);9780972563673 (alk. paper);090281320X (U.K. ed.);9780902813205 (U.K. ed.);0902813218 (special ed.);9780902813212 (special ed.)~George W. Jones : printer laureate / Lawrence Wallis.~
i12535187~Beverly, Mass. : Quarry Books, c2008.~646.4 G518~~~  -  -    ~1592534201;9781592534203~Sweater surgery : how to make new things from old sweaters / Stefanie Girard.~
i12536799~[S.l] : Vassar College Libraries, 2014.~016.72 A6733~~~  -  -    ~9780615885162;0615885160~The Architect's Library : A collection of notable books on architecture at Vassar College / edited by Nicholas Adams.~
i12537494~~005.133 P2SA~~~  -  -    ~1449344917;9781449344917~Learning PHP design patterns / William Sanders.~
i12539934~New York : Bonanza Books : Distributed by Crown, 1984.~599 B963~~~  -  -    ~0517447436;0517249456~North American mammals / text by Barbara Burn ; foreword by James Doherty.~
