Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i12197543,"New York : Sterling Pub. Co., c1990.",684.083 D899,,,  -  -    ,0806967005 (paper) : $14.95 ($19.95 Can.);9780806967004 (paper),Woodturning for cabinetmakers / Michael Dunbar.,X
i12197555,"New York : Sterling Pub. Co., c1990.",684.083 D866B,,,  -  -    ,0806972106 : $9.95 ($12.95 Can.);9780806972107,Band saw basics / Gene & Mark Duginske.,ONLY PRATT
i12197634,"New York, Bonanza Books [1935]",684.104 G687,,,  -  -    ,,"Simple colonial furniture, by Franklin H. Gottshall.",
i12197762,"Indianapolis : Bobbs-Merrill, c1975.",684.104 S655,,,  -  -    ,0672518945 : $12.95;9780672518942,Old furniture : understanding the craftsman's art / by Nancy A. Smith ; drawings by Glenna Lang ; photos. by Richard Cheek.,X
i12197828,"Princeton, N.J., Van Nostrand [1967]",684.1044 H427,,,  -  -    ,,Furniture repairs [by] Charles H. Hayward.,
i12197841,"South Brunswick : A.S. Barnes, [1975]",684.08 A332,,,  -  -    ,0498015513 : $6.95;9780498015519,How to use woodworking tools effectively and safely / by Vernon M. Albers.,ONLY PRATT
i12197993,"New York : Dover Publications, 1976.",684.082 H758,,,  -  -    ,0486233650 : $15.00;9780486233659,Hand or simple turning : principles and practice / John Jacob Holtzapffel.,X
i12198298,"Milan : Olivetti, c1988.",676.2802 M623R,,,  -  -    ,,A dictionary of Michelangeloʼs watermarks / Jane Roberts.,X
i1219881x,"London, H.M.S.O., 1970.",681.7677 G465,,,  -  -    ,0112900909;9780112900900,"Sewing machines, by K.R. Gilbert.",ONLY PRATT
i12199333,"New York, Bonanza Books [1935]",684.104 G687,,,  -  -    ,,"Simple colonial furniture, by Franklin H. Gottshall.",
i12199394,"Princeton, N.J., Van Nostrand [1964]",684.104 S539,,,  -  -    ,0442275455 (pbk);9780442275457 (pbk),Colonial furniture making for everybody.,ONLY PRATT
i12199400,"Garden City, N.Y., Doubleday, 1962.",684.1044 G881,,,  -  -    ,,"The furniture doctor; being practical information for everybody about the care, repair, and refinishing of furniture, with easy to follow directions and tricks of the trade that use commonly available materials, all presented with the author's usual hilarious anecdotes in the Yankee manner and more about his infamous Uncle George.",
i12199606,"New York, Bonanza/Macmillan, 1955.",684.08 M349,,,  -  -    ,,Fine furniture for the amateur cabinetmaker. Photography by I.B. Warner.,
i12199801,"Woburn, Mass. : Woodcraft Supply Corp., 1978.",684.084 F873,,,  -  -    ,0918036054 : $5.95;9780918036056,The French polisher's manual; a description of French polishing methods and technique.,X
i12199825,"Milwaukee, Bruce [1950]",684.104 B863,,,  -  -    ,,"Bedroom furniture, period and modern.",X
i12201571,"[Irvine, Calif.] : Entrepreneur Press, c2004.",346.73 S732,,,  -  -    ,193253119X;9781932531190,Entrepreneur magazine's ultimate guide to forming an LLC in any state / Michael Spadaccini.,X
i12201789,"New York, Popular Science Pub. Co. [1967]",621.9 W239,,,  -  -    ,,Home and workshop guide to sharpening.,ONLY PRATT
i12202010,"Cambridge [Eng.] : Trinity College, 1962.",378.42 T812,,,  -  -    ,,"Trinity College, Cambridge : a history and guide / by G.M. Trevelyan.",ONLY PRATT
i12202903,"Zeeland, Mich. : The Company, c1949.",684.16 H551B,,,  -  -    ,,"BSC, the Herman Miller system of basic storage components.",ONLY PRATT
i12202927,"New York : MJS Books & Graphics, c1993.",070.50942 T383,,,  -  -    ,0963923900;9780963923905,"The Themersons and the Gaberbocchus Press : an experiment in publishing, 1948-1979 : [exhibition] / edited by Jan Kubasiewicz and Monica Strauss ; with contributions by Marcin Gizycki ... [et al.].",X
i12210821,"New York, Drake Publishers [1974]",684.08 P144PR,,,  -  -    ,0877497052;9780877497059,"The practical wood turner, by F. Pain.",ONLY PRATT
i12211023,"New York : Barnes & Noble, [1972]",684.1044 A332,,,  -  -    ,64633365,The repair and reupholstering of old furniture.,ONLY PRATT
i12214826,"Ivrea : Olivetti, 1958.",362.85 I44,,,  -  -    ,,"Olivetti, 1908-1958.",X
i12216161,"Brooklyn, NY : Brooklyn Botanic Garden, c2009.",631.5 G7869,,,  -  -    ,9781889538488;1889538485,"Great natives for tough places / Niall Dunne, editor.",ONLY PRATT
i1221677x,"[New York?] : The Institute, 1965.",658.564 A5119 1965,,,  -  -    ,,"AIGA packaging, 1965 / American Institute of Graphic Arts.",ONLY PRATT
i12216847,"South Brunswick : A.S. Barnes, 1976, c1975.",674.88 T651,,,  -  -    ,049801830X : $8.95;9780498018305,Turned woodware for collectors : treen and other objects / Jane Toller ; drawings by Ronnie Murray.,ONLY PRATT
i12217013,"San Francisco : Sierra Club Books, c1984.",363.738 P339,,,  -  -    ,871568233,A killing rain : the global threat of acid precipitation / Thomas Pawlick.,X
i12218297,"New York : Lyons & Burford, c1995.",635.0942 E46,,,  -  -    ,1558214178 (alk. paper);9781558214170 (alk. paper),The transplanted gardener / Charles Elliott.,ONLY PRATT
i12218741,"Essen, E. Heyer [1955]",602.75 K41,,,  -  -    ,,Kersting Marken : trade-marks.,ONLY PRATT
i12219095,"[Cairo] : American University in Cairo Press, 1973.",016.709176 C923,,,  -  -    ,,"A bibliography of the architecture, arts, and crafts of Islam. Supplement, Jan. 1960 to Jan. 1972 / by K.A.C. Creswell.",
i12219101,"[Cairo] American University at Cairo Press, 1961.",016.709176 C923,,,  -  -    ,,"A bibliography of the architecture, arts, and crafts of Islam to 1st Jan. 1960.",
i12219708,"London, E. Benn, 1923.",684.104 W278,,,  -  -    ,,"Furniture mouldings; full size selections of moulded details on English furniture from 1574-1820, by E.J. Warne. With an introduction by H.P. Shapland.",
i12220358,"Vero Beach, Fla. : Windsor, [199-?]",307.74 W766W,,,  -  -    ,,Windsor.,
i12226051,"Newtown, CT : Taunton Press, c2009.",684.083 A628,,,  -  -    ,9781600850110;1600850111,Taunton's complete illustrated guide to tablesaws / Paul Anthony.,ONLY PRATT
i12227262,"London : Studio Vista, c1977.",607.34 A442,,,  -  -    ,0289707927;9780289707920,The great exhibitions / John Allwood.,X
i1222862x,"New York, NY : Sotheby's, [1999]",027.1 F828,,,  -  -    ,,The Frank T. Siebert Library of the North American Indian and the American frontier.,ONLY PRATT
i12228631,"New York, NY : Sotheby's, [1999]",027.1 F828,,,  -  -    ,,The Frank T. Siebert Library of the North American Indian and the American frontier.,ONLY PRATT
i12228722,"New York : Simon & Schuster, c2004.",384.8 B622,,,  -  -    ,068486259X;9780684862590,"Down and dirty pictures : Miramax, Sundance, and the rise of independent film / Peter Biskind.",X
i12228837,"[New York, American Institute of Graphic Arts]",095.02 A512,,,  -  -    ,0145-1723,Fifty books of the year.,
i12229313,"Cambridge, MA : Harvard Education Press, 2003.",371.334 B565,,,  -  -    ,1891792164;9781891792168;1891792172 (library ed.);9781891792175 (library ed.),Better teaching and learning in the digital classroom / edited by David T. Gordon.,X
i12229362,"Oxford ; New York : Oxford University Press, 2006.",303.4830904 S641,,,  -  -    ,0195168755 (alk. paper);9780195168754 (alk. paper),Transforming the twentieth century : technical innovations and their consequences / Vaclav Smil.,X
i12231319,"Stanford, Calif., Stanford University Press, 1958.",572.995 B329,,,  -  -    ,,"Naven, a survey of the problems suggested by a composite picture of the culture of a New Guinea tribe drawn from three points of view.",
